"","Fiscal Year","treasury_yield","bond_supply","log_treasury_yield","log_bond_supply"
"1",1919,4.73,0.34573,1.55392520250384,-1.06209715537429
"2",1920,5.32,0.29369,1.67147330335355,-1.22523048970588
"3",1921,5.09,0.29512,1.62727783056243,-1.22037322569372
"4",1922,4.3,0.309,1.45861502269952,-1.17441400208439
"5",1923,4.36,0.27735,1.47247205736094,-1.28247503248089
"6",1924,4.06,0.24109,1.40118297361364,-1.42258497122093
"7",1925,3.86333333333333,0.22346,1.35153036868355,-1.49852285186295
"8",1926,3.68083333333333,0.20147,1.30313917582043,-1.60211479205432
"9",1927,3.33583333333333,0.18367,1.20472252321648,-1.69461460984169
"10",1928,3.3275,0.17349,1.20222127128713,-1.7516353181439
"11",1929,3.60166666666667,0.15964,1.28139670129074,-1.8348339988016
"12",1930,3.28583333333333,0.15589,1.18962029810153,-1.85860464865755
"13",1931,3.34083333333333,0.19483,1.20622027686641,-1.63562789552434
"14",1932,3.68083333333333,0.27937,1.30313917582043,-1.27521821086618
"15",1933,3.3075,0.37966,1.19619261700697,-0.968479163619741
"16",1934,3.12166666666667,0.43245,1.13836704722794,-0.838288566229616
"17",1935,2.78666666666667,0.4575,1.0248461384285,-0.781978394266561
"18",1936,2.68583333333333,0.4756,0.987991046039345,-0.74317811416551
"19",1937,2.74333333333333,0.44023,1.00917372602087,-0.820457961371412
"20",1938,2.6075,0.43208,0.95839190789279,-0.839144522697501
"21",1939,2.41083333333333,0.46403,0.879972469200042,-0.767806073673524
"22",1940,2.25833333333333,0.44186,0.814627078097654,-0.816762189159255
"23",1941,2.115,0.42264,0.749054812498241,-0.861234526126077
"24",1942,2.46166666666667,0.46953,0.900838627315235,-0.756023084611616
"25",1943,2.46916666666667,0.70863,0.903880711797475,-0.344421750444411
"26",1944,2.48333333333333,0.88335,0.909601743723357,-0.124033780923448
"27",1945,2.36916666666667,1.06225,0.86253827587491,0.0603893000127838
"28",1946,2.19083333333333,1.08653,0.784281988953788,0.0829891319300248
"29",1947,2.24666666666667,0.962,0.809447636256107,-0.0387408283164306
"30",1948,2.4375,0.84283,0.890972923889865,-0.17099000205201
"31",1949,2.30583333333333,0.78998,0.835442144010833,-0.235747650297233
"32",1950,2.31916666666667,0.80199,0.841207925749801,-0.220659140021289
"33",1951,2.56916666666667,0.66935,0.94358159211006,-0.40144818675023
"34",1952,2.6825,0.61588,0.986749195522717,-0.484703139620419
"35",1953,2.94666666666667,0.58626,1.08067458798144,-0.53399190179783
"36",1954,2.54833333333333,0.59549,0.935439550712915,-0.518370682939031
"37",1955,2.84416666666667,0.57241,1.04527011313062,-0.557899761151956
"38",1956,3.07583333333333,0.52027,1.12357586725391,-0.653407371391086
"39",1957,3.4675,0.4864,1.24343387320685,-0.72072394833018
"40",1958,3.43083333333333,0.49203,1.23280318599381,-0.70921558873901
"41",1959,4.07416666666667,0.47879,1.40466622680255,-0.736493191063626
"42",1960,4.015,0.45643,1.39003734739872,-0.784319931340259
"43",1961,3.9025,0.44982,1.36161737340745,-0.798907776239111
"44",1962,3.95083333333333,0.43679,1.37392652712603,-0.828302748586402
"45",1963,4.00166666666667,0.42386,1.38671094100511,-0.858352066953709
"46",1964,4.15083333333333,0.40039,1.42330911729719,-0.915316206877928
"47",1965,4.20916666666667,0.37931,1.43726468669196,-0.969401466279426
"48",1966,4.65333333333333,0.34892,1.53758380866612,-1.05291260941712
"49",1967,4.8525,0.32917,1.57949403606103,-1.11118094434396
"50",1968,5.25916666666667,0.33342,1.65997258580815,-1.09835232246225
"51",1969,6.11666666666667,0.29333,1.81101728583247,-1.22645702387892
"52",1970,6.575,0.27965,1.88327457806383,-1.27421645771454
"53",1971,5.74,0.28059,1.74745921033147,-1.27086074986757
"54",1972,5.62916666666667,0.27401,1.72796141461821,-1.29459067690968
"55",1973,6.30083333333333,0.26012,1.84068189978218,-1.34661221598119
"56",1974,6.9825,0.23893,1.94340701883719,-1.4315846569797
"57",1975,6.98416666666667,0.25298,1.94364568232281,-1.37444484476274
"58",1976,6.78083333333333,0.28186,1.91410000492057,-1.26634478521877
"59",1977,7.05666666666667,0.27824,1.95397279647866,-1.27927122837616
"60",1978,7.88666666666667,0.27379,2.06517356988213,-1.29539388980427
"61",1979,8.74166666666667,0.25598,2.16810086561425,-1.36265596255449
"62",1980,10.81,0.26133,2.38047163165112,-1.34197130248323
"63",1981,12.8883333333333,0.25823,2.55632250939289,-1.35390461831824
"64",1982,12.2325,0.28681,2.50409634418114,-1.24893530336104
"65",1983,10.8416666666667,0.33053,2.38339673573046,-1.10705785225164
"66",1984,11.9891666666667,0.33997,2.48400346426094,-1.07889790055901
"67",1985,10.7516666666667,0.36352,2.3750607813161,-1.01192096288941
"68",1986,8.14416666666667,0.39525,2.09730192456274,-0.928236802892556
"69",1987,8.63416666666667,0.40628,2.15572720047566,-0.900712701910837
"70",1988,8.97583333333333,0.40963,2.19453578057468,-0.892500965751417
"71",1989,8.5875,0.40573,2.15030765754847,-0.902067365237912
"72",1990,8.7325,0.42054,2.16705169769885,-0.866215679241849
"73",1991,8.15916666666667,0.45342,2.09914203957798,-0.790936430721454
"74",1992,7.52083333333333,0.48057,2.01767694742499,-0.732782379600635
"75",1993,6.455,0.49313,1.86485502429861,-0.706982448016418
"76",1994,7.41,0.49208,2.002830439308,-0.709113974082024
"77",1995,6.935,0.49099,1.93658105376679,-0.711331517993796
"78",1996,6.795,0.48379,1.91618704760311,-0.726104350718054
"79",1997,6.66833333333333,0.45939,1.89736995364109,-0.777855756486911
"80",1998,5.68833333333333,0.42954,1.73841729369056,-0.845040410345988
"81",1999,6.1325,0.39446,1.81360249715051,-0.93023753800678
"82",2000,6.23,0.3472,1.82937633279936,-1.05785429619594
"83",2001,5.63083333333333,0.32465,1.72825744777608,-1.12500760002764
"84",2002,5.43,0.33578,1.69193913394584,-1.09129909537389
"85",2003,4.9575,0.35641,1.60090158141181,-1.03167352541772
"86",2004,5.04666666666667,0.3679,1.61872795934119,-0.999944116871408
"87",2005,4.64583333333333,0.36949,1.53597076055223,-0.995631602559565
"88",2006,4.9925,0.36565,1.60793678630783,-1.00607868726518
"89",2007,4.90833333333333,0.36325,1.59093444086954,-1.01266397653174
"90",2008,4.3625,0.40483,1.47304528752855,-0.904288053083005
"91",2009,4.1075,0.54042,1.41281457092929,-0.615408663958431
"92",2010,4.03,0.62856,1.39376637595859,-0.464323790114571
"93",2011,3.62083333333333,0.67841,1.2867042019234,-0.388003454047047
"94",2012,2.54416666666667,0.7256,0.933803156958786,-0.32075638018121
